id,delta,epsilon,baseline_dist,simp_dist,orig_points,baseline_points,simp_points
646,13.037446869608942,0.5,19.556170304413413,-1.0,1593,914,648
652,8.76267680704876,0.5,13.144015210573139,12.398399757780272,358,316,236
649,-1,0.5,-1,-1,1700,705,-1
651,-1,0.5,-1,-1,1795,823,-1
656,-1,0.5,-1,-1,1742,692,-1
655,6.926917741212038,0.5,10.390376611818057,9.800737547140967,98,89,64
657,-1,0.5,-1,-1,1726,434,-1
653,6.87352749487487,0.5,10.310291242312305,9.720622481690299,1703,38,20
650,14.472779201659648,0.5,21.709168802489472,-1.0,7260,3903,1704
658,11.22877810788952,0.5,16.84316716183428,-1.0,1344,841,648
654,13.432389326392212,0.5,20.148583989588317,-1.0,3052,252,124
659,11.81449062442026,0.5,17.72173593663039,-1.0,1781,900,678
660,12.221514124092748,0.5,18.33227118613912,17.43102185679524,1379,1057,768
663,12.034234338687392,0.5,18.05135150803109,17.02390355625046,499,376,290
661,7.680652659137924,0.5,11.520978988706887,-1.0,890,272,218
664,14.435846097850458,0.5,21.653769146775687,20.481420071343997,1226,939,634
666,-1,0.5,-1,-1,1406,124,-1
662,9.350820863312784,0.5,14.026231294969175,-1.0,1721,560,436
665,9.976621262970205,0.5,14.964931894455308,14.114020601905345,90,89,86
669,13.800536284398659,0.5,20.700804426597987,19.52184516023774,249,201,160
667,12.05154957389246,0.5,18.07732436083869,17.04736414510098,1494,250,130
671,0.0,0.5,0.0,-1.0,211,211,-1
668,11.74436898171406,0.5,17.61655347257109,-1.0,1694,146,82
670,-1,0.5,-1,-1,265,247,-1
674,8.94415488658671,0.5,13.416232329880065,12.65371343110383,648,485,360
672,6.943724651799745,0.5,10.415586977699618,9.823532868742332,1685,52,32
673,13.538409602956724,0.5,20.307614404435085,-1.0,1685,612,406
675,14.689504959362417,0.5,22.034257439043625,-1.0,7187,4531,2436
677,10.399838886978781,0.5,15.599758330468172,-1.0,905,485,388
679,10.510663338130309,0.5,15.765995007195464,14.869270156460798,851,426,320
678,9.613081574234393,0.5,14.419622361351589,-1.0,1001,623,504
683,-1,0.5,-1,-1,1782,180,-1
684,-1,0.5,-1,-1,1672,92,-1
680,14.138358630511659,0.5,21.207537945767488,-1.0,1703,322,194
681,14.506730160455527,0.5,21.76009524068329,20.515970978410532,1779,278,138
685,13.993120247135979,0.5,20.98968037070397,19.79512217296378,958,662,386
682,11.381359748069556,0.5,17.072039622104334,-1.0,811,292,190
686,12.979034694212281,0.5,19.46855204131842,18.4787958276187,1434,1171,716
676,14.188941230201047,0.5,21.283411845301572,-1.0,9982,3830,1718
690,-1,0.5,-1,-1,1786,648,-1
687,10.646618742771482,0.5,15.969928114157224,-1.0,1681,742,574
689,11.655718122679803,0.5,17.483577184019705,16.48865699541857,1694,301,174
692,-1,0.5,-1,-1,1732,971,-1
693,0.0,0.5,0.0,-1.0,127,125,-1
691,14.136654558461194,0.5,21.20498183769179,20.03729594420696,1777,1306,960
694,-1,0.5,-1,-1,1626,500,-1
688,12.977379583978982,0.5,19.466069375968473,-1.0,1840,862,612
697,-1,0.5,-1,-1,1617,781,-1
695,11.391053015221745,0.5,17.08657952283262,16.113486066933998,305,160,100
698,9.01921232064892,0.5,13.52881848097338,12.759912275416802,260,249,230
699,10.663881200796727,0.5,15.99582180119509,15.085889067300421,466,135,92
701,-1,0.5,-1,-1,1199,888,-1
700,8.807467008191795,0.5,13.211200512287693,12.460622264801055,523,451,360
696,13.873843770857428,0.5,20.810765656286144,-1.0,1741,863,594
702,11.477566021438088,0.5,17.216349032157133,16.235527072619657,1763,222,130
704,4.48089206458856,0.5,6.721338096882841,6.341463006608388,110,103,92
705,12.286354018646577,0.5,18.429531027969865,17.38040462569892,809,753,644
703,13.331087244343472,0.5,19.996630866515208,18.857418509399096,2346,405,252
706,-1,0.5,-1,-1,120,104,-1
707,9.540056807198294,0.5,14.31008521079744,13.49667373640574,585,453,374
708,1.4878643629865884,0.5,2.2317965444798826,2.107575691863065,20,17,18
709,8.725443345798821,0.5,13.08816501869823,12.393967765842474,760,695,534
710,11.420083536890756,0.5,17.130125305336133,16.15539334922866,904,290,202
711,7.830156848682378,0.5,11.745235273023567,11.078097559827679,251,228,200
712,6.867313181721332,0.5,10.300969772581999,9.717048243370884,216,63,50
713,11.774376353088613,0.5,17.66156452963292,16.65645689576873,588,514,370
714,3.4655488775497028,0.5,5.198323316324554,-1.0,200,100,78
716,-1,0.5,-1,-1,1650,881,-1
717,14.492810116065087,0.5,21.73921517409763,20.500917775467272,1699,1113,758
718,14.01103577611857,0.5,21.016553664177856,-1.0,810,623,412
720,12.287686243504881,0.5,18.431529365257322,17.54393579595428,1195,889,642
719,13.676722063029267,0.5,20.5150830945439,-1.0,1445,932,556
