id,epsilon,dp_dist,simp_dist,dp_points,best_simp_points,delta
62,0.75,72.62390560345179,66.94041642380526,3,4,41.499374630543876
63,0.25,285.75745511572745,274.838286412733,781,490,228.60596409258196
63,0.5,285.75745511572745,269.41860402832714,781,512,190.50497007715163
63,0.75,285.75745511572745,263.38183096022834,781,510,163.28997435184425
64,0.25,116.44298939160362,111.99704167070173,669,682,93.15439151328289
64,0.5,116.44298939160362,109.78843629522329,669,686,77.62865959440241
64,0.75,116.44298939160362,107.32832524137582,669,690,66.53885108091636
65,0.25,121.99432990894775,117.33649109593088,668,648,97.59546392715819
65,0.5,121.99432990894775,115.02216391381796,668,658,81.32955327263183
65,0.75,121.99432990894775,112.44434450598055,668,658,69.71104566225586
66,0.25,99.4026200634833,95.60614303146635,190,214,79.52209605078664
66,0.5,99.4026200634833,93.80070609430209,190,222,66.26841337565553
66,0.75,99.4026200634833,91.7227322195826,190,222,56.801497179133314
68,0.25,99.91596244433511,96.18376907817314,758,858,79.93276995546809
68,0.5,99.91596244433511,94.20651670498187,758,872,66.61064162955674
68,0.75,99.91596244433511,92.09563078477659,758,872,57.0948356824772
70,0.25,1856.1996624946248,1785.2349727692044,255,28,1484.9597299957
70,0.5,1856.1996624946248,1750.0400000009463,255,28,1237.4664416630833
70,0.75,1856.1996624946248,1710.8167164644553,255,28,1060.6855214255
71,0.25,110.35522663664113,106.14092806322164,282,286,88.28418130931291
71,0.5,110.35522663664113,104.04849049960536,282,302,73.57015109109409
71,0.75,110.35522663664113,101.71479870135904,282,308,63.060129506652075
72,0.25,148.51992867443934,143.2951784212952,654,586,118.81594293955148
72,0.5,148.51992867443934,141.40976612774276,654,590,99.01328578295956
72,0.75,148.51992867443934,137.76866867852806,654,592,84.86853067110819
73,0.25,184.47308643981728,177.56375094913736,462,398,147.57846915185382
73,0.5,184.47308643981728,174.10371641588398,462,412,122.98205762654486
73,0.75,184.47308643981728,170.02958966280437,462,414,105.41319225132416
74,0.25,146.9057600814705,141.2953808028364,469,410,117.52460806517641
74,0.5,146.9057600814705,138.50885394141142,469,426,97.93717338764701
74,0.75,146.9057600814705,135.4046808288284,469,428,83.94614861798314
75,0.25,300.3132638015007,288.83797349778683,415,224,240.25061104120056
75,0.5,300.3132638015007,283.1392261455331,415,236,200.2088425343338
75,0.75,300.3132638015007,276.7969739005367,415,232,171.60757931514325
76,0.25,309.75373024134103,297.9165042579861,427,274,247.80298419307283
76,0.5,309.75373024134103,292.0432357865158,427,288,206.5024868275607
76,0.75,309.75373024134103,285.49814380621797,427,288,177.00213156648059
77,0.25,118.90999224656412,114.3692173254379,344,348,95.12799379725129
77,0.5,118.90999224656412,112.11415183692803,344,350,79.27332816437608
77,0.75,118.90999224656412,109.60172007923363,344,354,67.94856699803664
78,0.25,92.84186637063799,89.28923605561069,18,18,74.27349309651039
78,0.5,92.84186637063799,87.5304854453249,18,18,61.89457758042533
78,0.75,92.84186637063799,85.57470065972734,18,18,53.05249506893599
79,0.25,204.89779074386794,197.06969264644397,286,198,163.91823259509437
79,0.5,204.89779074386794,193.18208408493874,286,202,136.59852716257862
79,0.75,204.89779074386794,188.85398553273419,286,208,117.08445185363883
80,0.25,133.54248192760068,128.73906118455457,310,262,106.83398554208054
80,0.5,133.54248192760068,125.94254196549673,310,274,89.02832128506712
80,0.75,133.54248192760068,123.31542991599436,310,276,76.30998967291467
82,0.25,99.8599062745359,96.04306313609943,128,144,79.88792501962872
82,0.5,99.8599062745359,94.1508683780314,128,146,66.5732708496906
82,0.75,99.8599062745359,92.25552955440696,128,144,57.06280358544909
83,0.25,145.23783961013007,139.70776728757207,483,442,116.19027168810405
83,0.5,145.23783961013007,136.93649541242507,483,456,96.82522640675337
83,0.75,145.23783961013007,133.867193494159,483,460,82.9930512057886
84,0.25,286.6887695305546,275.7340616186262,561,284,229.3510156244437
84,0.5,286.6887695305546,270.2976699071657,561,296,191.12584635370308
84,0.75,286.6887695305546,264.23868182301004,561,302,163.82215401745978
86,0.25,209.6620470919365,201.65035201762063,399,290,167.7296376735492
86,0.5,209.6620470919365,197.67626382232174,399,292,139.774698061291
86,0.75,209.6620470919365,193.24615408342268,399,294,119.80688405253514
87,0.25,158.96411804014832,152.89233081088378,540,470,127.17129443211866
87,0.5,158.96411804014832,150.09334240045192,540,472,105.97607869343221
87,0.75,158.96411804014832,146.5180812393809,540,478,90.83663888008475
90,0.25,324.27985408678313,311.8869235490872,538,294,259.4238832694265
90,0.5,324.27985408678313,305.73604760981044,538,298,216.18656939118875
90,0.75,324.27985408678313,298.88625137164433,538,300,185.30277376387608
91,0.25,114.6549707248855,110.27424579221741,10,12,91.7239765799084
91,0.5,114.6549707248855,108.09224437259321,10,12,76.43664714992367
91,0.75,114.6549707248855,105.67584481793618,10,12,65.517126128506
92,0.25,98.19153729909634,94.4423711572131,306,316,78.55322983927707
92,0.5,98.19153729909634,92.58084013307369,306,322,65.46102486606422
92,0.75,98.19153729909634,90.50583918405141,306,324,56.10944988519791
93,0.25,216.41781808708805,208.1470870217606,250,158,173.13425446967045
93,0.5,216.41781808708805,204.04488947540318,250,158,144.27854539139204
93,0.75,216.41781808708805,199.47232693086474,250,158,123.66732462119317
