id,epsilon,iter,delta,simplify_time_s,frechet_time_s,dist,points,note
52,0.5,1,85.32274823411815,29.523090,25.885202,119.60324499997277,10,
52,0.5,2,76.79047341070634,29.327713,40.247914,105.48023848003767,12,
52,0.5,3,69.11142606963571,30.274770,19.918862,97.73493791882709,14,
52,0.5,4,62.20028346267214,19.837182,23.327284,87.96493791882834,18,exceed_dp_points
52,0.75,1,73.13378420067271,19.414361,35.994178,117.95621148556044,10,
52,0.75,2,65.82040578060544,18.827343,31.865971,106.16563119371392,10,
52,0.75,3,59.2383652025449,17.758520,38.683860,95.55116125999574,18,exceed_dp_points
53,0.25,1,69.9738840367786,156.121465,1.826279,84.22943679660146,184,exceed_dp_points
53,0.5,1,58.31157003064884,43.033694,2.287870,82.4659267354582,192,exceed_dp_points
53,0.75,1,49.981345740556144,28.138067,1.598607,80.74180011940733,196,exceed_dp_points
54,0.25,1,144.36950496765627,130.585870,2.428581,173.56769461773837,400,
54,0.25,2,129.93255447089064,126.006996,1.644389,156.21162686401303,432,
54,0.25,3,116.93929902380158,127.409888,0.910045,140.59039437267907,458,
54,0.25,4,105.24536912142142,127.497366,1.573056,126.53177666536095,480,
54,0.25,5,94.72083220927928,117.814635,2.311570,113.87983774996782,514,
54,0.25,6,85.24874898835135,98.812868,2.232749,102.49274423255557,534,exceed_dp_points
54,0.5,1,120.30792080638022,35.868420,1.613347,170.14571981650656,416,
54,0.5,2,108.2771287257422,35.402829,1.308753,153.13143506232217,444,
54,0.5,3,97.44941585316798,34.934016,0.619924,137.81919927384615,468,
54,0.5,4,87.70447426785118,34.930294,0.742856,124.03778296726863,500,
54,0.5,5,78.93402684106607,28.295928,1.265893,111.63455108199985,516,exceed_dp_points
54,0.75,1,103.12107497689735,23.239480,2.081560,166.33203315878072,418,
54,0.75,2,92.80896747920761,22.894701,0.830314,149.70011425038575,446,
54,0.75,3,83.52807073128685,23.284184,1.594019,134.7303839174831,474,
54,0.75,4,75.17526365815816,22.930175,0.772500,121.25818487714469,502,
54,0.75,5,67.65773729234235,17.810471,1.105724,109.13214376284873,522,exceed_dp_points
55,0.25,1,72.4532901199417,119.091684,4.837581,87.1082066884152,322,exceed_dp_points
55,0.5,1,60.37774176661808,34.307204,0.451106,85.39134719565463,324,exceed_dp_points
55,0.75,1,51.752350085672646,22.182688,0.499911,83.47761674611937,322,exceed_dp_points
56,0.25,1,134.2819910192893,118.948181,7.993179,161.44079075712793,424,
56,0.25,2,120.85379191736038,127.673548,21.928947,145.5928137798454,456,
56,0.25,3,108.76841272562434,129.845726,7.679573,131.0612975191893,482,
56,0.25,4,97.89157145306191,128.037020,12.938783,117.98183562865687,504,exceed_dp_points
56,0.5,1,111.90165918274108,33.342277,10.702414,158.25768648939197,436,
56,0.5,2,100.71149326446698,35.646984,12.895676,142.74193625761632,462,
56,0.5,3,90.64034393802028,36.854658,4.768584,128.50193625967572,488,
56,0.5,4,81.57630954421825,35.376642,19.455338,115.37104616248435,512,exceed_dp_points
56,0.75,1,95.91570787092094,22.072528,8.572341,154.71076664810735,438,
56,0.75,2,86.32413708382884,23.332562,5.916119,139.5417579146383,468,
56,0.75,3,77.69172337544596,23.742322,8.565196,125.62209750981705,492,
56,0.75,4,69.92255103790137,23.334664,8.573654,112.78628416371875,514,exceed_dp_points
57,0.25,1,70.36312874488924,45.767584,0.239375,84.59629354814314,328,exceed_dp_points
57,0.5,1,58.63594062074103,12.232160,0.215742,82.92840872475784,330,exceed_dp_points
57,0.75,1,50.259377674920884,7.916860,0.225528,81.07025615086457,332,exceed_dp_points
58,0.25,1,71.0438604907888,118.756252,1.398303,85.88784816880109,500,exceed_dp_points
58,0.5,1,59.203217075657335,34.200264,4.058718,84.05467184250219,508,exceed_dp_points
58,0.75,1,50.745614636277715,23.194010,2.810984,82.56481212008777,508,exceed_dp_points
60,0.25,1,105.59740258486907,179.064846,8.796047,126.95244975974283,6,
60,0.25,2,95.03766232638216,177.482221,22.992819,114.25235227337764,6,
60,0.25,3,85.53389609374395,168.593592,32.972766,102.82711704603965,8,
60,0.25,4,76.98050648436956,171.887260,43.459557,92.54564801174456,8,
60,0.25,5,69.28245583593261,156.511161,208.155067,83.2961481284287,10,exceed_dp_points
60,0.5,1,87.9978354873909,54.118272,3.947373,121.76697385300312,6,
60,0.5,2,79.19805193865182,61.159829,24.304798,112.0030766733138,8,
60,0.5,3,71.27824674478664,59.020642,3.276799,100.80307667331344,8,
60,0.5,4,64.15042207030798,60.104174,8.390825,90.72307667331388,8,
60,0.5,5,57.73537986327719,62.900215,44.781640,81.6530766733146,10,exceed_dp_points
60,0.75,1,75.42671613204934,36.616321,23.203986,121.65964167471074,6,
60,0.75,2,67.8840445188444,34.842042,18.731365,109.49283044794836,8,
60,0.75,3,61.095640066959966,34.051837,18.424054,98.54075299083094,8,
60,0.75,4,54.98607606026397,33.788623,9.426967,88.68978259433581,8,
60,0.75,5,49.48746845423757,33.106112,84.598971,79.81912559750513,10,exceed_dp_points
61,0.25,1,332.9396723655322,109.875075,5.022044,400.2678328458016,310,
61,0.25,2,299.645705128979,112.064489,1.405155,360.2411741387667,344,
61,0.25,3,269.6811346160811,101.731830,2.801275,324.21882552710684,368,
61,0.25,4,242.713021154473,100.735054,8.092392,291.79752559391636,394,
61,0.25,5,218.4417190390257,100.902926,1.684238,262.6190181281938,410,
61,0.25,6,196.59754713512314,121.033896,2.387871,236.35756193396537,448,
61,0.25,7,176.93779242161082,125.810532,4.866755,212.72073693837368,476,
