id,baseline_algo,original_points,baseline_points,simplify_points,baseline_frechet,simplify_frechet,baseline_time,simplify_time,best_e,best_d
32,DP,550,156,150,216.51221585045724,199.55909590514858,0.004627165995771065,5.198943082999904,0.75,123.72126620026128
32,DOTS,550,411,320,24.295679107034793,22.397708903246333,0.020537750009680167,7.00623045800603,0.75,13.883245204019882
32,SQUISH,550,55,20,1898.6505060258246,1749.9439044084936,0.0032922500104177743,6.084536791982828,0.75,1084.9431463004712
33,DP,975,373,276,321.48339289699925,296.31148966703967,0.006180249998578802,7.4108757080102805,0.75,183.70479594114244
33,DOTS,975,739,622,25.154328041471842,23.189423051866235,0.026069249986903742,7.527903292007977,0.75,14.37390173798391
33,SQUISH,975,97,34,3069.133022685597,2792.659134685408,0.005538832978345454,6.267168875987409,0.75,1753.790298677484
34,DP,4594,214,-1,270.26748978721537,-1,0.012656208011321723,-1,-1,-1
34,DOTS,4594,1869,-1,30.2363012928969,-1,0.06014487499487586,-1,-1,-1
34,SQUISH,4594,459,102,504.2101626457978,464.722015747984,0.009028875007061288,17.252122791018337,0.75,288.1200929404559
35,DP,5621,86,-1,243.43484662138732,-1,0.013381750002736226,-1,-1,-1
35,DOTS,5621,1006,-1,22.791060524120585,-1,0.1499236249946989,-1,-1,-1
35,SQUISH,5621,562,-1,77.6149127739528,-1,0.011192417005077004,-1,-1,-1
36,DP,464,161,164,192.3462755952645,177.28634489833965,0.020157249993644655,5.101751874026377,0.75,109.91215748300829
36,DOTS,464,270,228,21.891502682467078,20.181435435337054,0.022055832989281043,5.247344917035662,0.75,12.509430104266901
36,SQUISH,464,46,22,4376.492991892323,4009.3961180811393,0.0035285000049043447,5.267608624999411,0.75,2500.8531382241845
37,DP,426,36,34,225.06762924163314,207.4429172345154,0.0031688330054748803,5.040164834033931,0.75,128.6100738523618
37,DOTS,426,181,104,29.61488903577063,27.299838358596208,0.017774500011000782,5.364630125026451,0.75,16.922793734726074
37,SQUISH,426,42,14,982.5584307585218,905.6022846167531,0.0027841670089401305,5.302430917014135,0.75,561.461960433441
38,DP,1446,355,224,394.0810311408652,363.2212445876931,0.006121291982708499,9.560658208967652,0.75,225.18916065192298
38,DOTS,1446,705,580,27.944001032202713,25.760501856570148,0.03329829199356027,9.760709458991187,0.75,15.968000589830122
38,SQUISH,1446,144,54,1902.56910798414,1753.559737595969,0.004090958012966439,8.394390500005102,0.75,1087.1823474195085
39,DP,1890,498,374,297.4182054342215,407.2858456032173,0.007071625004755333,9.649536084005376,0.75,169.95326024812655
39,DOTS,1890,1246,972,27.157281169576894,184.2373641188377,0.03510287500103004,8.689925499988021,0.75,15.518446382615368
39,SQUISH,1890,189,54,2528.216905044804,2330.20542181692,0.004465249978238717,8.897355958994012,0.75,1444.6953743113168
40,DP,7,6,14,0.0,0.004881548125270566,0.0024609160027466714,4.0204399159993045,0.25,0.0
40,DOTS,7,7,14,0.0,0.004881548125270566,0.014377624989720061,3.987914416997228,0.25,0.0
40,SQUISH,7,1,-1,,-1,0.003124792012386024,-1,-1,-1
41,DP,1792,344,340,199.5133662941376,183.8918085014311,0.00665325002046302,9.621360709017608,0.75,114.00763788236434
41,DOTS,1792,842,618,29.989361111095807,27.645660336174107,0.032791499979794025,10.798533750028582,0.75,17.136777777769034
41,SQUISH,1792,179,56,1910.781208571776,1761.1271982498288,0.004089541995199397,9.44225400002324,0.75,1091.8749763267292
42,DP,1575,19,16,259.05556802875924,238.76694540223252,0.005418916989583522,8.51723350098473,0.75,148.031753159291
42,DOTS,1575,211,110,30.12159402614198,27.764016684629407,0.031634290993679315,9.010559667018242,0.75,17.212339443509702
42,SQUISH,1575,157,70,49.554987956211626,45.67378608760073,0.004982624988770112,7.663403124985052,0.75,28.317135974978072
43,DP,5,5,10,0.0,0.004622599544535904,0.0026923750119749457,3.737929750001058,0.25,0.0
43,DOTS,5,5,10,0.0,0.004622599544535904,0.014966707996791229,3.732754667988047,0.25,0.0
43,SQUISH,5,1,-1,,-1,0.0022779999999329448,-1,-1,-1
44,DP,1603,212,198,197.21346289930395,181.77015177889854,0.006328499992378056,9.112958667014027,0.75,112.69340737103083
44,DOTS,1603,570,428,30.958232641361167,28.538957044127443,0.031936957995640114,10.509238124999683,0.75,17.690418652206382
44,SQUISH,1603,160,44,1272.0520802497874,1172.4276050377189,0.004231833998346701,8.155158457986545,0.75,726.8869029998785
45,DP,3,3,6,0.0,0.0007500858199591676,0.003037749993382022,4.058857833006186,0.25,0.0
45,DOTS,3,3,6,0.0,0.0007500858199591676,0.01585470902500674,3.957169792003697,0.25,0.0
45,SQUISH,3,1,-1,,-1,0.002847166993888095,-1,-1,-1
46,DP,1693,190,158,219.1393207282152,201.97900093873764,0.00630387500859797,9.95711875098641,0.75,125.22246898755155
46,DOTS,1693,894,600,31.36637953927302,28.914727327294376,0.040596375009045005,10.018383749993518,0.75,17.923645451013154
46,SQUISH,1693,169,60,565.2790494264402,521.0015661569602,0.0051561250002123415,9.312212999997428,0.75,323.0165996722516
47,DP,8,6,8,0.9359402999759509,0.8629572844170608,0.002666666987352073,3.9890831249940675,0.75,0.5348230285576862
47,DOTS,8,7,16,0.0,0.004272953071379053,0.015090000000782311,3.991410626011202,0.25,0.0
47,SQUISH,8,1,-1,,-1,0.0024573749979026616,-1,-1,-1
48,DP,905,243,172,354.02924338762443,326.3061810064598,0.0046015419939067215,7.056250874971738,0.75,202.30242479292824
48,DOTS,905,457,400,13.581427365295433,12.522285244402255,0.06423995899967849,7.570299333019648,0.75,7.7608156373116755
48,SQUISH,905,90,40,2194.4083843344592,2022.538456125685,0.0031582500087097287,6.845332666998729,0.75,1253.9476481911195
49,DP,763,245,246,199.4032402399964,183.78979652889953,0.005258334014797583,6.659225834009703,0.75,113.94470870856937
49,DOTS,763,668,494,19.49958137735975,17.977434487613962,0.023095041018677875,6.187289209017763,0.75,11.142617929919856
49,SQUISH,763,76,26,2491.22196980629,2295.828110774959,0.00466029200470075,5.671688125003129,0.75,1423.55541131788
50,DP,576,207,200,250.46869529439667,230.85589537498706,0.004971250018570572,5.86551795899868,0.75,143.12496873965523
50,DOTS,576,477,366,16.33366426918832,15.058720141325747,0.020617624977603555,5.690336541010765,0.75,9.333522439536182
50,SQUISH,576,57,26,3637.6931049871896,3352.7814987281963,0.0027681670035235584,5.139571624982636,0.75,2078.681774278394
51,DP,858,153,142,229.22932055952373,211.27988152851634,0.004432832996826619,6.621864124026615,0.75,130.9881831768707
51,DOTS,858,679,426,26.80675670871812,24.71182272933298,0.024146749987266958,7.146476875001099,0.75,15.318146690696068
51,SQUISH,858,85,42,979.7611542096273,903.0311224260982,0.004384166997624561,6.497296540997922,0.75,559.8635166912156
52,DP,1059,6,6,177.7595512241864,163.83993385645942,0.006754290981916711,7.197386416984955,0.75,101.5768864138208
52,DOTS,1059,181,128,20.578472207477997,18.970558041838064,0.027547042001970112,7.88194179101265,0.75,11.759126975701713
52,SQUISH,1059,105,38,64.18856854500756,59.1635972719577,0.004844874987611547,6.942754916002741,0.75,36.6791820257186
53,DP,1837,85,32,531.1332048455772,489.5369375600599,0.011488082993309945,9.565650749980705,0.75,303.50468848318695
53,DOTS,1837,716,420,29.778825187448046,27.45112610423679,0.035957207990577444,10.644577624974772,0.75,17.016471535684598
53,SQUISH,1837,183,78,258.13598350493896,237.92110924761417,0.004779250011779368,8.992780916014453,0.75,147.50627628853655
54,DP,1636,403,342,250.28513680515957,230.68717697647892,0.007734666985925287,11.559329749987228,0.75,143.0200781743769
54,DOTS,1636,1022,772,30.108025600649952,27.754512238146347,0.033148957998491824,10.823763001011685,0.75,17.20458605751426
54,SQUISH,1636,163,58,1719.5444827277395,1584.8665526212205,0.005174416000954807,8.295498292020056,0.75,982.596847272994
55,DP,1552,237,164,383.13831452124055,353.1342779038129,0.006936666002729908,12.20850491602323,0.75,218.93617972642318
55,DOTS,1552,617,458,28.38011314413526,26.162836295869017,0.032949999993434176,13.698929250007495,0.75,16.217207510934436
