id,best_delta,epsilon,baseline_dist,best_simp_dist,orig_points,baseline_points,best_points,note
220,5.697211837018303,0.5,16.69105030376456,8.061165395293996,1820,341,338,
224,8.079259069962026,0.5,12.118888604943038,-1.0,940,703,606,frechet_failed_or_timeout
226,14.334170531498502,0.5,21.501255797247754,20.477844309785823,2058,1545,1108,
227,-1,0.5,-1,-1,2523,1421,-1,baseline_frechet_failed
228,0.0,0.5,0.0,-1.0,60,11,-1,simplify_failed
225,9.044639759629773,0.5,21.198374436632278,12.914741671412042,1788,1472,1148,
223,3.707524049632887,0.5,16.971698225248197,5.247934019592926,1245,168,168,
229,11.786243581966993,0.5,17.67936537295049,-1.0,939,607,510,frechet_failed_or_timeout
230,8.435312290583317,0.5,12.652968435874977,-1.0,1012,763,646,frechet_failed_or_timeout
222,6.055662349391913,0.5,22.176497861542643,8.592479690437187,2116,309,292,
234,-1,0.5,-1,-1,1806,952,-1,baseline_frechet_failed
232,13.632378872773806,0.5,20.44856830916071,19.453941942478085,1490,1165,854,
236,-1,0.5,-1,-1,879,157,-1,baseline_frechet_failed
233,9.20170122477105,0.5,21.566487245557145,13.030053627244522,1425,900,700,
235,9.19155845022549,0.5,21.54271511771599,13.113289512618204,1767,1444,1078,
231,0.8106119560565772,0.5,11.324118208930503,1.151177995073663,414,141,124,
238,14.455944034606595,0.5,21.683916051909893,20.593413286704145,1521,1107,692,
240,13.915978238314835,0.5,20.873967357472253,19.73120123257554,2020,1686,1190,
241,12.090641215142702,0.5,18.13596182271405,-1.0,1699,1317,940,frechet_failed_or_timeout
237,2.647438906837138,0.5,18.93595867278912,3.749035609205394,767,510,440,
239,4.604136087399728,0.5,16.86084992944236,6.5162069899214385,793,489,424,
244,4.157332333636055,0.5,12.17968457119938,5.884322130229193,710,699,640,
242,2.914247568259743,0.5,20.844322931240143,4.12635903301345,545,451,358,
243,4.268343660063918,0.5,12.504913066593508,6.044752569338971,1701,72,70,
245,2.846898427634659,0.5,20.362604338893828,4.031118453808764,535,528,488,
246,7.238626921835541,0.5,21.206914810065058,10.243655452387582,917,208,188,
247,9.633343714199071,0.5,18.06251946412326,13.628497657235146,1017,809,708,
251,13.985852119100644,0.5,20.978778178650966,-1.0,2393,1976,1214,frechet_failed_or_timeout
248,8.459999720260033,0.5,19.82812434435945,12.079195074857411,1367,836,626,
253,-1,0.5,-1,-1,1682,896,-1,baseline_frechet_failed
250,6.651323916115938,0.5,15.589040428396729,9.456618905684756,827,501,434,
252,13.93916783724312,0.5,20.90875175586468,-1.0,1007,772,608,frechet_failed_or_timeout
249,5.669914690444945,0.5,16.611078194662923,8.021655768358562,1523,271,254,
257,13.25123721334328,0.5,19.87685582001492,-1.0,767,452,358,frechet_failed_or_timeout
258,-1,0.5,-1,-1,1712,68,-1,baseline_frechet_failed
256,6.2121221326989025,0.5,11.647728998810441,8.790245098222638,632,409,348,
255,6.945698809070189,0.5,20.348726979697815,9.82767254936178,1320,1149,864,
260,11.491956696625302,0.5,17.237935044937952,-1.0,1814,770,602,frechet_failed_or_timeout
259,6.533279634650126,0.5,9.799919451975189,-1.0,1712,94,58,frechet_failed_or_timeout
254,0.8711477323891602,0.5,12.169793234986626,1.2369443611779136,697,679,648,
264,12.20210332122997,0.5,18.303154981844955,-1.0,1781,596,458,frechet_failed_or_timeout
263,12.874335027733402,0.5,19.311502541600102,18.24997317646705,1064,846,700,
261,9.842579884242165,0.5,14.763869826363246,13.919746428232738,1634,118,72,
269,13.758415359013235,0.5,20.637623038519852,-1.0,1410,1299,928,frechet_failed_or_timeout
267,5.880375331157063,0.5,8.820562996735594,8.320000162170366,371,217,146,
265,14.143052656107661,0.5,21.21457898416149,-1.0,2257,1571,1006,frechet_failed_or_timeout
271,6.312407052684102,0.5,9.468610579026153,8.930001276504926,1806,72,38,
266,5.576210565254329,0.5,10.455394809851867,7.890000906575937,1626,76,66,
272,4.169314411900635,0.5,19.085606743929905,5.908943766695525,772,766,708,
268,0.06016463763818362,0.5,0.840490278390007,0.09015155711939854,185,177,174,
279,-1,0.5,-1,-1,1714,855,-1,baseline_frechet_failed
273,6.192043534329945,0.5,9.288065301494917,8.780033863637495,1798,51,32,
270,6.539812968954293,0.5,19.159608307483275,9.253682106680621,1916,1378,1022,
282,-1,0.5,-1,-1,1798,739,-1,baseline_frechet_failed
278,12.33749192928007,0.5,18.506237893920105,-1.0,1807,811,558,frechet_failed_or_timeout
280,11.22402876415711,0.5,16.836043146235664,-1.0,1500,176,106,frechet_failed_or_timeout
284,-1,0.5,-1,-1,1723,36,-1,baseline_frechet_failed
277,14.395757546010598,0.5,21.593636319015896,20.36363901846994,1674,326,186,
281,12.31519941687064,0.5,18.472799125305958,-1.0,1790,669,480,frechet_failed_or_timeout
274,5.950447599902436,0.5,13.946361562271331,8.416686508432498,1699,91,80,
275,4.968414017859282,0.5,14.555900442947113,7.030000549069014,1647,70,64,
276,6.367495772601167,0.5,14.923818217033984,9.007645983639039,1721,180,150,
289,-1,0.5,-1,-1,1770,889,-1,baseline_frechet_failed
292,-1,0.5,-1,-1,1406,858,-1,baseline_frechet_failed
286,12.739123105383719,0.5,19.10868465807558,-1.0,1783,814,650,frechet_failed_or_timeout
283,14.36184555361646,0.5,21.54276833042469,20.448461369036874,1753,1086,766,
295,-1,0.5,-1,-1,-1,-1,-1
288,13.512557113001124,0.5,20.268835669501687,-1.0,1700,330,212,frechet_failed_or_timeout
290,11.844922893204627,0.5,17.76738433980694,-1.0,1531,1144,816,frechet_failed_or_timeout
287,10.203166604056891,0.5,15.304749906085336,14.456156999680742,971,346,274,
291,7.460769323661658,0.5,11.191153985492488,-1.0,1527,110,66,frechet_failed_or_timeout
298,12.36588311000129,0.5,18.548824665001934,17.494898941246863,839,541,416,
300,10.626678251191487,0.5,15.94001737678723,-1.0,1566,1052,698,frechet_failed_or_timeout
294,7.007017593357488,0.5,16.422697484431612,9.914380803023686,1020,202,184,
293,9.533017655118176,0.5,22.34301012918322,13.513146530364306,1360,1111,806,
296,3.580842534498354,0.5,10.490749612788145,5.069072923179262,828,784,726,
303,-1,0.5,-1,-1,1625,659,-1,baseline_frechet_failed
285,6.82955932815907,0.5,20.008474594216022,9.660720061373402,1736,80,58,
304,-1,0.5,-1,-1,1788,824,-1,baseline_frechet_failed
299,0.34839706535274484,0.5,4.867050778391929,0.49722856683059197,63,60,58,
297,8.62423123153656,0.5,20.213041948913816,12.228984361379045,1635,485,334,
305,12.378219709183263,0.5,18.567329563774894,-1.0,1744,711,464,frechet_failed_or_timeout
306,13.927518359543981,0.5,20.891277539315972,-1.0,1720,795,562,frechet_failed_or_timeout
312,-1,0.5,-1,-1,1781,606,-1,baseline_frechet_failed
308,11.53618297517253,0.5,17.304274462758794,-1.0,1777,621,440,frechet_failed_or_timeout
309,12.103556286703101,0.5,18.15533443005465,-1.0,1665,567,448,frechet_failed_or_timeout
314,-1,0.5,-1,-1,1774,513,-1,baseline_frechet_failed
313,-1,0.5,-1,-1,1701,113,-1,baseline_frechet_failed
307,12.518476616558436,0.5,18.777714924837653,17.708472053103005,1787,554,382,
301,8.45711916978094,0.5,19.821373054174074,11.96514557455048,1756,626,494,
316,-1,0.5,-1,-1,7,3,-1,baseline_frechet_failed
311,11.532961274006581,0.5,17.299441911009872,-1.0,1672,810,644,frechet_failed_or_timeout
318,-1,0.5,-1,-1,1703,67,-1,baseline_frechet_failed
317,12.32149741544896,0.5,18.48224612317344,-1.0,1670,1198,878,frechet_failed_or_timeout
310,11.508418270451905,0.5,21.57828425709732,16.29285595760968,1757,275,160,
322,6.402280008250073,0.5,9.603420012375109,-1.0,1132,809,620,frechet_failed_or_timeout
302,5.810502017361133,0.5,21.278693911234612,8.220453963961225,1692,168,164,
325,-1,0.5,-1,-1,1766,228,-1,baseline_frechet_failed
323,10.306314387956201,0.5,15.4594715819343,-1.0,1505,621,470,frechet_failed_or_timeout
319,7.500257774761865,0.5,17.57872915959812,10.696532425554505,972,692,518,
324,12.721020165754469,0.5,19.081530248631704,-1.0,1676,757,598,frechet_failed_or_timeout
328,-1,0.5,-1,-1,1250,387,-1,baseline_frechet_failed
330,-1,0.5,-1,-1,1712,736,-1,baseline_frechet_failed
315,3.8794023598781715,0.5,11.365436601205579,5.489999999999782,1747,29,22,
326,9.733295881729482,0.5,18.249929778242777,13.7699185370365,1145,839,572,
321,5.53685972715982,0.5,20.276585914891914,7.8546671566458155,1335,964,822,
332,6.464815053011494,0.5,12.121528224396549,9.146943683868365,40,31,28,
335,-1,0.5,-1,-1,1706,586,-1,baseline_frechet_failed
320,5.479978987480582,0.5,20.068282424855642,7.767072636182693,1773,209,198,
331,11.147160215581245,0.5,20.90092540421483,15.769403244006751,1118,700,514,
329,11.863025178380992,0.5,22.24317220946436,16.822518099718998,1703,1235,848,
333,9.783594508780709,0.5,18.34423970396383,13.868302508848522,1743,1462,1018,
340,-1,0.5,-1,-1,1651,821,-1,baseline_frechet_failed
337,6.511825295113815,0.5,9.767737942670722,-1.0,1708,753,626,frechet_failed_or_timeout
327,4.854493629535774,0.5,14.222149305280587,6.870000039224166,1345,318,258,
339,12.963432560414255,0.5,19.445148840621382,-1.0,1689,971,730,frechet_failed_or_timeout
344,-1,0.5,-1,-1,1751,519,-1,baseline_frechet_failed
342,-1,0.5,-1,-1,1563,685,-1,baseline_frechet_failed
346,-1,0.5,-1,-1,1755,487,-1,baseline_frechet_failed
341,12.582810311563533,0.5,18.874215467345298,-1.0,1786,707,480,frechet_failed_or_timeout
348,-1,0.5,-1,-1,1376,156,-1,baseline_frechet_failed
350,-1,0.5,-1,-1,1762,594,-1,baseline_frechet_failed
338,4.079142576016799,0.5,9.56049041253937,5.773671809399275,1770,42,36,
334,6.729662502933874,0.5,19.71580811406408,9.522039891799977,2285,329,284,
336,6.648083121494155,0.5,19.476806020002403,9.406723178237575,1624,477,376,
349,5.2274573179740145,0.5,12.251853089001594,7.39764531726181,769,464,392,
343,7.3228212583041215,0.5,17.162862324150282,10.374953820128914,1692,210,184,
