id,baseline_algo,original_points,baseline_points,simplify_points,baseline_frechet,simplify_frechet,baseline_time,simplify_time,best_e,best_d
32,DOTS,550,411,324,24.295679107034793,20.563306960642322,0.018171124989748932,0.18322999999999998,0.8,13.497599503908217
32,SQUISH,550,55,24,1898.6505060258246,1606.6406118311158,0.00568104199192021,0.21765,0.8,1054.8058366810137
28,DP,6023,503,568,199.98383113819233,169.2301020484821,0.022443875001044944,2.26068,0.8,111.10212841010684
28,DOTS,6023,2497,-1,,-1,0.04344850000052247,-1,-1,-1
28,SQUISH,6023,602,182,800.4150300790631,677.3171515156731,0.011209791002329439,2.64981,0.8,444.67501671059057
33,DP,975,373,298,321.48339289699925,272.04230120444817,0.020365707998280413,0.32019,0.8,178.60188494277736
33,DOTS,975,739,628,25.154328041471842,21.2913419801612,0.024763541005086154,0.31429,0.8,13.974626689706579
33,SQUISH,975,97,44,3069.133022685597,2597.0931647693405,0.005660125010763295,0.41625999999999996,0.8,1705.0739014919984
37,DP,426,36,36,225.06762924163314,190.45493705670853,0.005142416994203813,0.20009,0.8,125.0375718009073
37,DOTS,426,181,114,29.61488903577063,25.061069436868223,0.01784487500844989,0.17914,0.8,16.452716130983685
37,SQUISH,426,42,16,982.5584307585218,831.4377669257489,0.004869416996371001,0.13933,0.8,545.8657948658455
36,DP,464,161,168,192.3462755952645,162.7671117023864,0.006271709004067816,0.1253,0.8,106.85904199736916
36,DOTS,464,270,232,21.891502682467078,18.528720383464712,0.01837454200722277,0.15214,0.8,12.161945934703931
36,SQUISH,464,46,24,4376.492991892323,3698.141631577406,0.0053875419980613515,0.14583000000000002,0.8,2431.3849954957345
34,DP,4594,214,182,270.26748978721537,228.70375925652166,0.013292667004861869,1.88699,0.8,150.14860543734187
34,DOTS,4594,1869,854,30.2363012928969,25.59028375504207,0.029139582999050617,1.63729,0.8,16.7979451627205
34,SQUISH,4594,459,116,504.2101626457978,426.6661558739472,0.009960167008102871,1.91622,0.8,280.11675702544323
35,DP,5621,86,68,243.43484662138732,205.99732619065367,0.016337082997779362,2.26218,0.8,135.2415814563263
35,DOTS,5621,1006,504,22.791060524120585,19.289781795091486,0.030101875003310852,1.97223,0.8,12.661700291178102
